candidate_pair_id,cv_id,jd_id,candidate_bucket,llm_fit_score,llm_fit_category,llm_missing_requirements,llm_explanation,llm_model
cand_00061,resume_custom_03865,jd_custom_02002,hard_negative,81.0,strong fit,High school diploma or equivalent; college degree or some college,"The CV demonstrates relevant experience in administrative support, including coordination of meetings and travel arrangements. However, it lacks specific examples of executive-level management and technical skills required for the Executive Assistant position.",llama3.2:1b
cand_00703,resume_custom_05352,jd_custom_02811,hard_negative,60.0,good fit,short missing item 1; short missing item 2,"The candidate has a strong background in customer service and repair, but lacks experience with Milgard's specific products and services. They also have some technical skills, such as typing and computer management, but may not be familiar enough to perform complex tasks like computer rebuilding or software installation.",llama3.2:1b
cand_00085,resume_custom_03759,jd_custom_02003,hard_negative,61.0,good fit,background check; drug free; good work history,"The CV has some relevant experience in contracting administration, but lacks specific skills and certifications required for the job. The candidate's education and training are mostly relevant to other roles.",llama3.2:1b
cand_00983,resume_custom_02670,jd_custom_03671,hard_negative,81.0,good fit,,"Most of the required skills and experience are present in the CV. However, there is a missing requirement for a security license which could be considered as a significant gap.",llama3.2:1b
cand_00065,resume_custom_04582,jd_custom_02002,hard_negative,61.0,possible fit,strong phone etiquette; proficiency in advanced Excel functions,"The candidate has some relevant experience, but lacks strong skills in areas such as advanced Excel functions and project management. The CV also shows a lack of proficiency in certain software applications, which may be a concern for the role.",llama3.2:1b
cand_00445,resume_custom_04051,jd_custom_02334,hard_negative,81.0,strong fit,law degree and CPCU preferred,"The candidate has a strong background in insurance claims handling, with over 13 years of experience investigating and processing complex automobile insurance claims. They have also demonstrated expertise in litigation management, negotiation, and risk management, which aligns well with the job requirements.",llama3.2:1b
cand_00264,resume_custom_04986,jd_custom_02048,hard_negative,61.0,good fit,short missing item 1; short missing item 2,"The candidate has a strong background in mechanical maintenance and repair, with experience in various industries such as food, facilities, and uniforms. However, they lack specific experience in equipment engineering or HVAC control systems, which are critical components of the job description.",llama3.2:1b
cand_00702,resume_custom_05863,jd_custom_02811,hard_negative,60.0,possible fit,short missing item 1; short missing item 2,"The candidate has some experience in customer service and sales, but lacks specific knowledge of Milgard products or services. They also have some relevant skills, such as communication and problem-solving, but may not have the necessary expertise to perform complex tasks like field service work.",llama3.2:1b
cand_00568,resume_custom_04481,jd_custom_02734,likely_good,81.0,good fit,short missing item 1; short missing item 2,"The candidate has a strong background in kitchen operations, with experience as a line cook and executive chef. They have also demonstrated leadership skills and attention to detail, which aligns well with the requirements of Tommy's Subs.",llama3.2:1b
cand_00027,resume_custom_03398,jd_custom_00002,likely_good,81.0,strong fit,experience with Flutter; knowledge of Android Studio,"The candidate has a strong background in software development, particularly in Android app development and Flutter. They have experience working on large-scale projects, collaborating with teams, and debugging issues. However, they lack experience with the required skills for this role, such as API design and UI testing.",llama3.2:1b
cand_00388,resume_custom_05049,jd_custom_02285,likely_good,61.0,possible fit,short missing item 1; short missing item 2,"The candidate has some relevant experience in environmental consulting and project coordination, but lacks specific experience in the required field. The CV also highlights transferable skills such as communication, analytical, and organizational abilities, which could be valuable in this role.",llama3.2:1b
cand_00246,resume_custom_05483,jd_custom_02047,likely_good,81.0,good fit,short missing item 1; short missing item 2,"The candidate has excellent interpersonal skills, a strong work ethic, and experience in customer service. However, there are some gaps in their resume regarding specific job requirements and the company's policies.",llama3.2:1b
cand_00448,resume_custom_05129,jd_custom_02334,likely_good,61.0,good fit,law degree,"The candidate has a strong background in finance and analysis, but lacks a law degree. While they have experience with variance analysis and financial modeling, their education is not aligned with the required qualifications for this role.",llama3.2:1b
cand_00727,resume_custom_04037,jd_custom_02812,likely_good,61.0,good fit,specific knowledge of WMS applications; experience in team building and problem solving,"The candidate has some relevant experience as a machinist, but lacks specific knowledge of WMS applications. Additionally, they have limited experience in team building and problem solving.",llama3.2:1b
cand_00788,resume_custom_04367,jd_custom_03094,likely_good,61.0,good fit,short missing item 1; short missing item 2,"The candidate has relevant experience in event coordination and marketing, but lacks direct experience in the industry. They also do not have a vehicle, which is a requirement mentioned in the job description.",llama3.2:1b
cand_00730,resume_custom_04102,jd_custom_02812,likely_good,61.0,good fit,experience with WMS applications; knowledge of UPS/EDI uploads,"The candidate has relevant experience in purchasing and procurement, but lacks specific knowledge of WMS applications and UPS/EDI uploads. The CV demonstrates a strong analytical and problem-solving skillset, which is beneficial for the job requirements.",llama3.2:1b
cand_00030,resume_custom_02149,jd_custom_00002,likely_good,81.0,strong fit,Android Application Development; Software Development,"The candidate has a strong background in software development, with experience in Android app development and Flutter. They have also demonstrated their skills in web development, including WordPress and Laravel. However, they lack experience in mobile UI design principles and best practices.",llama3.2:1b
cand_00410,resume_custom_05101,jd_custom_02332,likely_good,81.0,strong fit,experience in Adobe Creative Suite; experience in managing people,"The candidate has extensive experience in project management, program management, and financial analysis. They have a strong background in managing complex projects, leading teams, and developing high-quality programs that solve business problems. The candidate's skills in using Project Management tools such as Workfront are also highlighted.",llama3.2:1b
cand_00806,resume_custom_04391,jd_custom_03095,likely_good,81.0,good fit,experience with lean manufacturing; certification in Six Sigma or Kaizen,"The candidate has a strong background in business development and operations, with experience leading large-scale commercialization initiatives. They have also demonstrated proficiency in lean manufacturing and Six Sigma methodologies, which aligns with Masco Cabinetry's emphasis on efficiency and quality.",llama3.2:1b
cand_00867,resume_custom_05863,jd_custom_03439,likely_good,61.0,possible fit,short missing item 1; short missing item 2,"The CV has some relevant experience in transportation logistics and inventory management, but lacks direct experience as a Commercial Service Technician. The candidate also misses the requirement for commercial driver qualification and safety procedures.",llama3.2:1b
cand_00947,resume_custom_05435,jd_custom_03666,likely_good,81.0,good fit,short missing item 1; short missing item 2,"The candidate has a strong background in biology and biotechnology, excellent communication and analytical skills, and the ability to work on multiple tasks independently. However, they lack experience in commercial development of a new biotechnology product and may require additional training or experience in this area.",llama3.2:1b
cand_00966,resume_custom_03805,jd_custom_03667,likely_good,90.0,strong fit,Technical skills; Experience with Agile methodologies,"The candidate has a strong foundation in UX design, technical skills, and experience working on complex projects. They have also demonstrated their ability to work collaboratively as part of a team and communicate effectively with stakeholders.",llama3.2:1b
cand_00268,resume_custom_05813,jd_custom_02048,likely_good,61.0,good fit,cash handling; cooking,"The candidate has some relevant experience as a sales representative and general maintenance technician, but lacks direct experience in customer service or food preparation. The CV also highlights skills that are not directly related to the job requirements.",llama3.2:1b
cand_00890,resume_custom_05787,jd_custom_03440,likely_good,61.0,possible fit,experience with bindery equipment; knowledge of paper specifications and color printing,"The candidate has some experience working in a bindery environment, but lacks specific knowledge of bindery equipment and paper specifications. They also lack experience with bindery operations and may require additional training.",llama3.2:1b
cand_00770,resume_custom_05035,jd_custom_02895,likely_good,61.0,good fit,short missing item 1; short missing item 2,"The candidate has relevant experience in process engineering, but lacks specific skills and certifications required for the job. The CV also mentions some unrelated fields of study (biology and medical science) that may not be directly applicable to the role.",llama3.2:1b
cand_00066,resume_custom_05480,jd_custom_02002,likely_good,61.0,good fit,High school diploma or equivalent; college degree or some college,"The CV has a good mix of relevant experience and skills, but lacks specific education/certifications. The required skills are mostly met, with the exception of high school diploma or equivalent.",llama3.2:1b
cand_00708,resume_custom_04102,jd_custom_02811,likely_good,60.0,possible fit,short missing item 1; short missing item 2,"The candidate has some experience in customer service, but it's not directly related to the job requirements. They also lack specific skills and knowledge required for the position.",llama3.2:1b
cand_00090,resume_custom_04357,jd_custom_02003,likely_good,61.0,good fit,background check; drug free; good work history,"The candidate has some relevant experience in contracting administration and business development, but lacks direct experience in contracts administration. They also do not have a background check or drug-free status, which are required for this role.",llama3.2:1b
cand_00988,resume_custom_00498,jd_custom_03671,likely_good,81.0,good fit,security clearance; foreign language skills,"The candidate has a strong background in IT security, with experience as an Information Security Manager for the US Army. They have also demonstrated expertise in systems administration, network security, and incident response, which aligns well with the job requirements.",llama3.2:1b
cand_00070,resume_custom_05504,jd_custom_02002,likely_good,61.0,possible fit,experience with HRIS systems; specific experience with payroll and benefits management,"The candidate has some relevant administrative support experience, but lacks specific skills in areas such as HRIS systems, payroll, and benefits management. They also lack experience working with Microsoft Office Suite and have limited experience with strategic planning and leadership roles.",llama3.2:1b
cand_00450,resume_custom_03564,jd_custom_02334,likely_good,61.0,good fit,Law degree,"Most must-have requirements are supported by CV evidence, but some domain overlap exists.",llama3.2:1b
cand_00269,resume_custom_05870,jd_custom_02048,likely_good,61.0,good fit,highly specialized knowledge in HVAC systems,"The candidate has a strong background in maintenance work, with experience as a general maintenance technician and lawn care technician. However, they lack specific knowledge in HVAC systems, which is a critical requirement for the job.",llama3.2:1b
cand_00707,resume_custom_04054,jd_custom_02811,likely_good,60.0,possible fit,short missing item 1; short missing item 2,"The candidate has some experience in customer service, but lacks specific knowledge of product lines and technical skills required for the job. They also have limited experience with data entry and documentation, which may not be sufficient to meet the requirements of this position.",llama3.2:1b
cand_00573,resume_custom_01887,jd_custom_02734,medium,81.0,good fit,experience with cash handling; relationship building with vendors,"The candidate has a strong track record in IT, but lacks experience in customer-facing roles and may not have the necessary relationship-building skills to excel in a fast-paced restaurant environment.",llama3.2:1b
cand_00032,resume_custom_01994,jd_custom_00002,medium,81.0,strong fit,experience with Flutter; knowledge of Android Studio/Visual studio/Xcode,"The candidate has nearly 10 years of experience in both graphic design and web development, including designing UI updates for a mobile app and creating detailed graphic designs for websites. They have also worked on various projects using HTML5, CSS3, and WordPress themes. However, they lack experience with Flutter and Android Native/IOS Native skills.",llama3.2:1b
cand_00393,resume_custom_02796,jd_custom_02285,medium,61.0,good fit,experience with brownfields,"The candidate has some relevant experience in environmental consulting, but lacks specific experience with brownfields. They also do not have the required certifications or registration for Tetra Tech.",llama3.2:1b
cand_00251,resume_custom_02671,jd_custom_02047,medium,61.0,good fit,short missing item 1; short missing item 2,"The candidate has a strong background in customer service, collection, and logistics. They have experience working with various technologies, including point of delivery technology and Microsoft Office Suite. However, they lack specific experience in the field of contact centers or sales.",llama3.2:1b
cand_00453,resume_custom_02743,jd_custom_02334,medium,61.0,good fit,law degree,"The candidate has a relevant background in claims handling and project management, but lacks a law degree. They also lack experience with the specific software used by Medflow.",llama3.2:1b
cand_00732,resume_custom_02852,jd_custom_02812,medium,81.0,strong fit,,"The candidate has a strong background in IT project management, business analysis, and ERP system implementation, which aligns with the job requirements. They have also demonstrated leadership skills through their experience as a team leader and manager.",llama3.2:1b
cand_00793,resume_custom_02557,jd_custom_03094,medium,81.0,strong fit,,"Clear evidence for nearly all major requirements, including experience in project management, IT PMO, and training. Relevant skills such as SharePoint, training, and Excel are demonstrated.",llama3.2:1b
cand_00735,resume_custom_04688,jd_custom_02812,medium,61.0,possible fit,strong knowledge of WMS applications; PC application skills,"The candidate has some relevant experience, but lacks specific knowledge of WMS applications and PC application skills. They also have a strong analytical and problem-solving skillset, which is beneficial for the job. However, they need to improve their knowledge in these areas to be considered as a strong fit for the role.",llama3.2:1b
cand_00035,resume_custom_00095,jd_custom_00002,medium,81.0,strong fit,short missing item 1; short missing item 2,"The candidate has a strong background in Flutter app development, Android native and iOS native experience, and published apps on the Playstore/Appstore. They have also worked with remote data via RESTful services, third-party libraries, and APIs, which aligns with the job requirements. However, they lack experience working with Google Play Services, Retrofit, Room, etc., and do not meet the 3-6 years of Android native or iOS native experience requirement.",llama3.2:1b
cand_00415,resume_custom_02945,jd_custom_02332,medium,61.0,good fit,Domain experience; Seniority,"The candidate has some relevant experience in IT and project management, but lacks domain-specific knowledge and seniority. They also have a strong educational background, which is beneficial for the role.",llama3.2:1b
cand_00811,resume_custom_02487,jd_custom_03095,medium,81.0,strong fit,experience with lean manufacturing; certification in Six Sigma or Kaizen,"The candidate has a strong background in project management, IT integration, and leadership roles. They have experience with lean manufacturing, continuous improvement projects, and quality assurance. However, they lack experience with lean manufacturing and Six Sigma/Certified Professional in Lean Manufacturing (CPLM) or similar certifications.",llama3.2:1b
cand_00872,resume_custom_05895,jd_custom_03439,medium,61.0,good fit,valid driver's license; Commercial Driver Qualification Requirements,"The CV has some relevant experience in sales, IT, and consulting, but lacks direct experience as a Commercial Service Technician. The candidate also needs to obtain a valid driver's license and meet commercial driver qualification requirements.",llama3.2:1b
cand_00952,resume_custom_02470,jd_custom_03666,medium,81.0,strong fit,,"The candidate has a strong background in biology or biotechnology, excellent communication and analytical skills, and the ability to work on multiple tasks independently. They have relevant experience in biotechnology product development, customer service, and project management, which aligns with the job requirements.",llama3.2:1b
cand_00971,resume_custom_02773,jd_custom_03667,medium,61.0,good fit,project management experience; team leadership experience,"The candidate has relevant work experience, including project management and team leadership roles, which aligns with the job requirements. However, they lack specific experience in areas like project management, team leadership, and technical support, which are crucial for this role.",llama3.2:1b
cand_00273,resume_custom_02645,jd_custom_02048,medium,81.0,strong fit,short missing item 1; short missing item 2,"The candidate has a strong background in IT infrastructure management, with experience in implementing new products and improvements to computer systems. They have also demonstrated expertise in project planning, coordination, and execution, as well as technical skills such as programming languages (e.g., C#, .NET) and software development methodologies (e.g., Agile).",llama3.2:1b
cand_00895,resume_custom_01887,jd_custom_03440,medium,81.0,good fit,short missing item 1; short missing item 2,"The candidate has a strong background in bindery work, with experience in equipment operation and maintenance, as well as handwork tasks such as collating, folding, stitching, coilbinding, padding, etc. They also have relevant technical skills, including knowledge of paper specifications and color printing. However, they lack direct experience working with medium or large toner-based copiers or production offset press environments, which is a requirement for the job.",llama3.2:1b
cand_00775,resume_custom_02790,jd_custom_02895,medium,81.0,good fit,experience with agile methodology; certification in IT Business Analysis,"The candidate has relevant experience as a Product Manager, but lacks certification in IT Business Analysis and experience with agile methodologies. However, they have demonstrated strong analytical skills and problem-solving abilities throughout their career.",llama3.2:1b
cand_00071,resume_custom_05830,jd_custom_02002,medium,81.0,strong fit,"High school diploma or equivalent; college degree or some college, preferred","The candidate has a strong background in customer service, sales, and administrative support. They have relevant experience in retail, equipment rental, and parts sales, which aligns with the job requirements.",llama3.2:1b
cand_00713,resume_custom_01941,jd_custom_02811,medium,81.0,strong fit,,"Excellent customer service skills, technical expertise, and experience in handling complex issues with high satisfaction rates.",llama3.2:1b
cand_00095,resume_custom_01896,jd_custom_02003,medium,61.0,good fit,background check; drug free; good work history,"The candidate has some relevant experience, but lacks the required skills and certifications for the role. The background check is also a must-have requirement that is not mentioned in the CV.",llama3.2:1b
cand_00993,resume_custom_02501,jd_custom_03671,medium,61.0,possible fit,short missing item 1; short missing item 2,"The CV has some relevant experience, but lacks specific details about the Command Center Officer role and may not fully align with the job description's requirements.",llama3.2:1b
cand_00075,resume_custom_05840,jd_custom_02002,medium,81.0,strong fit,High school diploma or equivalent; College degree or some college,"The candidate has a strong background in administrative support and has experience with various office software. However, they lack the required education/certifications for the Executive Assistant position.",llama3.2:1b
cand_00455,resume_custom_02690,jd_custom_02334,medium,81.0,good fit,law degree,"Strong evidence of law degree, relevant experience in claims handling and litigation management.",llama3.2:1b
cand_00274,resume_custom_02437,jd_custom_02048,medium,81.0,strong fit,short missing item 1; short missing item 2,"The candidate has a strong background in IT Operations Management, with experience in various roles and projects. They have demonstrated expertise in areas such as infrastructure management, application monitoring, and problem management. However, they lack direct experience in customer service or facilities management, which are key aspects of the job description.",llama3.2:1b
cand_00712,resume_custom_02765,jd_custom_02811,medium,81.0,strong fit,short missing item 1; short missing item 2,"The candidate has a strong background in project management, with experience in software development life cycle (SDLC) and agile methodologies. They have also demonstrated excellent communication skills, problem-solving abilities, and attention to detail. However, there are some gaps in their experience related to customer service and technical expertise.",llama3.2:1b
cand_00578,resume_custom_00836,jd_custom_02734,random_negative,81.0,good fit,experience with Websphere; certification in Android development,"The candidate has a strong foundation in database administration, software development, and customer service. However, they lack experience with Websphere and certification in Android development, which are essential skills for this role.",llama3.2:1b
cand_00037,resume_custom_00443,jd_custom_00002,random_negative,81.0,strong fit,experience with third-party libraries and APIs; experience working with remote data via RESTful Services,"The candidate has experience in Flutter app development, iOS/Android SDK & Flutter is Mandatory, and strong fluency of the Flutter, Dalvik VM, ART, memory management, and security. They also have experience working with third-party libraries and APIs, which aligns with the required experience for this role.",llama3.2:1b
cand_00398,resume_custom_04908,jd_custom_02285,random_negative,61.0,possible fit,short missing item 1; short missing item 2,"The candidate has some relevant experience in environmental consulting and social media management. However, they lack direct experience with site investigations, remediation, and field sampling, which are essential skills for this role. The candidate also lacks proficiency in MS Word and Excel, and does not have a B.S. degree in Environmental Science or Geology, which is required by the job description.",llama3.2:1b
cand_00256,resume_custom_01338,jd_custom_02047,random_negative,81.0,good fit,,Most must-have requirements are supported by CV evidence. Only minor gaps remain.,llama3.2:1b
cand_00458,resume_custom_04589,jd_custom_02334,random_negative,81.0,strong fit,Law degree,"The candidate has a strong background in construction and piping engineering, with experience in various industries such as oil & gas. They have also completed their law degree, which is a significant requirement for this role.",llama3.2:1b
cand_00737,resume_custom_00764,jd_custom_02812,random_negative,81.0,strong fit,,"Clear evidence for nearly all major requirements, including leadership skills, analytical and problem-solving abilities, experience in team building and problem solving, and knowledge of WMS applications.",llama3.2:1b
cand_00798,resume_custom_00010,jd_custom_03094,random_negative,61.0,good fit,short missing item 1; short missing item 2,"The candidate has relevant experience and skills for the role, but lacks specific certifications or education in IT security. The CV demonstrates a strong understanding of event coordination and marketing principles, but may not fully align with the company's industry-specific requirements.",llama3.2:1b
cand_00740,resume_custom_01154,jd_custom_02812,random_negative,61.0,possible fit,experience in data validation; knowledge of WMS applications,"The candidate has some relevant experience and skills, but lacks specific knowledge of WMS applications and data validation. They also have a strong analytical and problem-solving background, which is beneficial for the job. However, they need to demonstrate more expertise in these areas to be considered a strong fit for the role.",llama3.2:1b
cand_00040,resume_custom_04640,jd_custom_00002,random_negative,61.0,possible fit,experience with Flutter; knowledge of Android Studio/Visual studio/Xcode,"The candidate has some experience in Flutter app development, but lacks knowledge of Android Studio and Visual studio. They also do not have experience working with remote data via RESTful Services or third-party libraries and APIs.",llama3.2:1b
cand_00420,resume_custom_05871,jd_custom_02332,random_negative,61.0,possible fit,experience with Adobe Creative Suite; knowledge of social media platforms,"The candidate has some relevant experience in sales and customer service, but lacks specific skills in Adobe Creative Suite, social media, and project management tools. They also lack experience working in a fast-paced creative environment.",llama3.2:1b
cand_00816,resume_custom_03802,jd_custom_03095,random_negative,61.0,good fit,experience with lean manufacturing; certification in Six Sigma or Kaizen,"The candidate has a strong educational background and relevant work experience, but lacks specific skills and certifications required for the job. However, they have demonstrated leadership and analytical skills through their previous roles.",llama3.2:1b
cand_00877,resume_custom_03707,jd_custom_03439,random_negative,61.0,possible fit,licensing; certifications,"The candidate has extensive experience in pharmacy, but lacks specific licenses or certifications required for the Commercial Service Technician role. They also lack experience working in a fast-paced service environment and may not have the necessary skills to handle emergency situations like filling STAT IV orders.",llama3.2:1b
cand_00957,resume_custom_02462,jd_custom_03666,random_negative,81.0,strong fit,,"The candidate has a strong background in biology and biotechnology, excellent communication and analytical skills, and experience working on multiple projects related to commercial development of new biotechnology products. They have relevant work experience in project management, IT, and business analysis, which aligns with the job requirements.",llama3.2:1b
cand_00976,resume_custom_02726,jd_custom_03667,random_negative,61.0,good fit,strong foundation in User Centered Design process; experience with wire-framing and prototyping tools,"The candidate has some relevant experience, but lacks a strong foundation in User Centered Design process. They also lack practical experience in UX roles and have limited experience with wire-framing and prototyping tools.",llama3.2:1b
cand_00278,resume_custom_00762,jd_custom_02048,random_negative,81.0,strong fit,short missing item 1; short missing item 2,"The candidate has a strong background in database administration, with experience in implementing and maintaining databases, as well as data modeling and analysis. They have also demonstrated expertise in data quality and integrity, through their work on data cleansing and ETL development projects.",llama3.2:1b
cand_00900,resume_custom_01803,jd_custom_03440,random_negative,81.0,good fit,,"Most must-have requirements are supported by CV evidence, with some domain overlap and minor gaps in skills and experience.",llama3.2:1b
cand_00780,resume_custom_03434,jd_custom_02895,random_negative,81.0,good fit,short missing item 1; short missing item 2,"The candidate has relevant experience in IT Security, but lacks specific certifications or industry experience. The CV highlights a strong understanding of security concepts and practices, but the job description requires more emphasis on technical skills and industry-specific knowledge.",llama3.2:1b
cand_00076,resume_custom_00052,jd_custom_02002,random_negative,90.0,strong fit,experience with cloud-based systems; certification in information security,"The candidate has extensive experience in IT infrastructure engineering and cybersecurity, including project management, penetration testing, and security auditing. They have also demonstrated strong knowledge of security tools and methodologies, as well as excellent communication and interpersonal skills.",llama3.2:1b
cand_00718,resume_custom_00775,jd_custom_02811,random_negative,60.0,good fit,short missing item 1; short missing item 2,"The candidate has some experience in customer service, but lacks specific skills and knowledge related to the job requirements. They have a strong educational background, but their work experience is limited to academic projects and not directly relevant to the position.",llama3.2:1b
cand_00100,resume_custom_02590,jd_custom_02003,random_negative,61.0,good fit,background check; drug free; good work history,"The CV has some relevant experience in contracting administration, but lacks direct experience in contracts administration. The candidate also misses the requirement for a background check and drug-free status.",llama3.2:1b
cand_00998,resume_custom_03826,jd_custom_03671,random_negative,81.0,good fit,patient access rep; eic pelican project team member,"The candidate has a strong background in IT and healthcare, with experience in patient access, Epic software, and network support. They also have relevant certifications and education, making them a strong fit for the job.",llama3.2:1b
cand_00080,resume_custom_00682,jd_custom_02002,random_negative,81.0,strong fit,experience with SSIS; certified SAFe 4 Agilist,"The candidate has extensive experience in administrative support, including data engineering, principal analyst roles, and IT project management. They have a strong background in SQL Server, database administration, and security compliance. However, they lack experience with SSIS and the Certified SAFe 4 Agilist certification.",llama3.2:1b
cand_00460,resume_custom_01024,jd_custom_02334,random_negative,61.0,good fit,Law degree,"Most must-have requirements are supported by CV evidence, but some domain overlap with law degree.",llama3.2:1b
cand_00279,resume_custom_00618,jd_custom_02048,random_negative,81.0,strong fit,database performance tuning; query optimization,"The candidate has a strong background in database administration, with experience in designing and implementing data-centric applications, building data analytics platforms, and optimizing database performance. However, they lack specific experience in cloud database management, big data, and SQL Service Broker.",llama3.2:1b
cand_00717,resume_custom_03824,jd_custom_02811,random_negative,60.0,possible fit,short missing item 1; short missing item 2,"The candidate has some experience in customer service, but lacks specific knowledge of product lines and technical skills required for the job. They also have limited experience with glass or window repair, which is a significant gap.",llama3.2:1b
